News#,Title Content,Match,Score,Polarity
129,"japan intervening to keep dollar up brokers","",0,NEUTRAL
130,"bell group issuing 200 mln in convertible bonds","",0,NEUTRAL
131,"current exchange rates almost within levels agreed by major nations - sumita
","",0,NEUTRAL
132,"sumita says major nations cooperated to stabilise currencies.
","",0,NEUTRAL
133,"thailand's foreign reserves fall in february","fall",-1,NEGATIVE
134,"exchange rates almost within g-6 levels - sumita","",0,NEUTRAL
135,"n.z. trade surplus 119.1 mln dlrs in february","",0,NEUTRAL
136,"matsushita to issue 200 billion yen convertible","issue",-1,NEGATIVE
137,"sumita says bank of japan has no intention of lowering its discount rate
","",0,NEUTRAL
138,"japan does not intend to cut discount rate-sumita","",0,NEUTRAL
139,"jardine matheson profits seen up sharply in 1986","sharply",-1,NEGATIVE
140,"hu yaobang appears at china parliamentary session","",0,NEUTRAL
141,"foreign brokers get more access to japanese bonds","",0,NEUTRAL
142,"china's first joint venture bank reports profit","",0,NEUTRAL
143,"bangladesh's payments deficit narrows in october","",0,NEUTRAL
144,"peking faces water rationing","",0,NEUTRAL
145,"u.s.-china cigarette filter joint venture set up","",0,NEUTRAL
146,"two japanese steelmakers to cut capital spending","",0,NEUTRAL
147,"nissan affiliate to acquire u.s. autoparts maker","",0,NEUTRAL
148,"dutch state launches new eight year bullet at 6-1/4 pct - official
","",0,NEUTRAL
149,"yen may rise to 140 to the dollar nikkeiren says","",0,NEUTRAL
150,"singapore securities market considering changes","",0,NEUTRAL
151,"new dutch bullet state loan at 6-1/4 pct due 1995","",0,NEUTRAL
152," brussels - ferruzzi says it will pay 630 mln dlrs to cpc international for european mills.
","",0,NEUTRAL
153,"vietnam to resettle 300000 on state farms in 1987","",0,NEUTRAL
154,"ec ministers fail to end deadlock on research plan","fail, deadlock",-2,NEGATIVE
155,"madagascar extends amoco oil exploration agreement","",0,NEUTRAL
156,"ferruzzi deal with cpc worth 630 mln dlrs","worth",1,POSITIVE
157,"airlines can increase hong kong/manila flights","",0,NEUTRAL
158,"swire pacific ltd swpc.hkg year 1986","",0,NEUTRAL
159,"bat industries 1986 pretax profit 1.39 billion stg vs 1.17 billion
","",0,NEUTRAL
160,"bat industries plc bti.l 1986 year","",0,NEUTRAL
161,"swire plans bonus issue on higher 1986 profits","bonus, issue",0,NEUTRAL
162,"japan trade ministry asks trade houses exporters to reduce dlr sales sources
","",0,NEUTRAL
163,"sri lankan government to stop importing sugar","",0,NEUTRAL
164,"new dutch special advances total 4.2 billion","",0,NEUTRAL
165,"danish february consumer prices fall 0.1 pct","fall",-1,NEGATIVE
166,"japan asks traders exporters to cut dollar sales","",0,NEUTRAL
167,"bank of japan to sell 300 billion yen in bills","",0,NEUTRAL
168,"abbey national has one billion dlr euro cd pact","",0,NEUTRAL
169,"enserch issues 100 mln dlr convertible bond","issues",-1,NEGATIVE
170,"middle east currency market sees key changes","",0,NEUTRAL
171,"belgolux trade swings into january deficit","",0,NEUTRAL
172,"guinness seeks u.k. injunction against saunders","",0,NEUTRAL
173,"citibank launches currency warrants","",0,NEUTRAL
174,"malaysia's foreign borrowing held at 1986 level","",0,NEUTRAL
175,"basf u.s. profitturnover boosted by acquisitions","",0,NEUTRAL
176,"swiss bank net foreign assests up in 4th quarter","",0,NEUTRAL
177,"bicc plc bicc.l 1986 year","",0,NEUTRAL
178,"taiwan money supply rises 48.22 pct in year","",0,NEUTRAL
179,"pakistan says afghan air raid killed almost 150","killed",-1,NEGATIVE
180,"china must cut demand continue reforms zhao says","reforms",1,POSITIVE
181,"nippon steel to reduce dividend","",0,NEUTRAL
182,"bat sees strong performance from all sectors","strong",1,POSITIVE
183,"china's premier zhao says political crisis over","premier, crisis",0,NEUTRAL
184,"taiwan sees its investment in u.s. rising sharply","sharply",-1,NEGATIVE
185,"babcock unit wins order for venezuelan power plant","wins",1,POSITIVE
186,"jardine to join consortium for hk second airport","",0,NEUTRAL
187,"babcock international plc babk.l year 1986","",0,NEUTRAL
188,"veba placement continues for small shareholders","",0,NEUTRAL
189,"delta group dltl.l year to jan 3.","",0,NEUTRAL
190,"placer pacific says big bell gold study expanding","gold",1,POSITIVE
191,"belgian public debt rises in february","debt",-1,NEGATIVE
192,"babcock expects further progress in 1987","progress",1,POSITIVE
193,"egypt buys 46000 tonnes of sunflowerseed oil","",0,NEUTRAL
194,"china to tighten import control cut export costs","",0,NEUTRAL
195,"west germans to mint community anniversary coin","",0,NEUTRAL
196,"singapore gdp to grow six pct in first quarter","",0,NEUTRAL
197,"cargill u.k. strike talks to resume this afternoon","strike",-1,NEGATIVE
198,"norway issues 60 billion yen eurobond","issues",-1,NEGATIVE
199,"brockway air to buy five saab planes","",0,NEUTRAL
200,"saab-scania launches 100 mln dlr euro-cp program","",0,NEUTRAL
201,"british compound feed production detailed","",0,NEUTRAL
202,"kloeckner und co's 1986 profit falls about 20 pct","falls",-1,NEGATIVE
203,"mixed asian reaction to new rubber pact","",0,NEUTRAL
204,"ciba-geigy phillips petroleum in joint venture","",0,NEUTRAL
205,"krupp to build south korean steel plant","",0,NEUTRAL
206,"swire expects continued growth this year","",0,NEUTRAL
207,"uncertainty surrounds ec sugar tender result-trade","tender",1,POSITIVE
208,"abu dhabi to reopen gulf oilfield hit in 1986 raid","",0,NEUTRAL
209,"chad says troops killed 1200 libyans in battle","killed",-1,NEGATIVE
210,"rainbow lifts progressive stake to 52 pct","progressive",1,POSITIVE
211,"bank of thailand plans its first bond issue","issue",-1,NEGATIVE
212,"foreign brokers get more access to japanese bonds","",0,NEUTRAL
213,"yen may rise to 140 to the dlr nikkeiren says","",0,NEUTRAL
214,"japan buys modest amount of dollars dealers say","modest",1,POSITIVE
215,"brazil/bank committee agree on credit request","",0,NEUTRAL
216,"japan does not intend to cut discount rate-sumita","",0,NEUTRAL
217,"u.k. money market forecast revised to show surplus","",0,NEUTRAL
218,"bank of england does not operate in money market","",0,NEUTRAL
219,"bank of japan to sell 300 billion yen in bills","",0,NEUTRAL
220,"exchange rates almost within g-6 levels - sumita","",0,NEUTRAL
221,"afghan bombing toll almost 150","toll",-1,NEGATIVE
222,"japan asks traders exporters to cut dollar sales","",0,NEUTRAL
223,"swire uncommitted on proposed new h.k. airport","",0,NEUTRAL
224,"central banks buy dollars for yen in london","",0,NEUTRAL
225,"brazil banks fail to make breakthrough in debt talks","fail, breakthrough, debt",-1,NEGATIVE
226,"china must reform irrational price system zhao","reform, irrational",0,NEUTRAL
227,"severe drought affects east northeast thailand","severe, drought",-2,NEGATIVE
228,"ocean transport and trading plc ottl.l year 1986","",0,NEUTRAL
229,"dart group raises supermarkets general sgl bid","",0,NEUTRAL
230,"olson industries inc olsn 4th qtr net","",0,NEUTRAL
231,"olson olsn to have loss from egg unit sale","loss",-1,NEGATIVE
232,"jefferies jefg sets supermarkets sgl market","",0,NEUTRAL
233,"e.d. and f. man to buy into hong kong firm","",0,NEUTRAL
234,"oracle corp orcl 3rd qtr feb 28 net","",0,NEUTRAL
235,"disney dis opening experimental retail outlet","",0,NEUTRAL
236,"enterra corp en 4th qtr loss","loss",-1,NEGATIVE
237,"johnstown/consolidated realty trust jct net","trust",1,POSITIVE
238,"duriron duri completes valtek valt purchase","",0,NEUTRAL
239,"washington federal savings wfsl quarterly div","savings",1,POSITIVE
240,"singer smf gets texas air tex contract","",0,NEUTRAL
241,"rowley-scher rsch to have loss for year","loss",-1,NEGATIVE
242,"dixons said it got and accepted only 20 pct of cyclops shares in tender
","",0,NEUTRAL
243,"london on rise as trading centre in u.s. debt","debt",-1,NEGATIVE
244,"matsushita to issue 200 billion yen convertible","issue",-1,NEGATIVE
245,"dixons gets only 20 pct of cyclops cyl in bid","",0,NEUTRAL
246,"opposition says uk gov't gave arms to contras","opposition",-1,NEGATIVE
247,"brazil announces new planning minister","",0,NEUTRAL
248,"citibank launches currency warrants","",0,NEUTRAL
249,"kaufman and broad home corp kbh 1st qtr feb 28","",0,NEUTRAL
250,"metro cable meto to sell partnership","",0,NEUTRAL
251,"renouf has 93.4 pct of benequity bh units","",0,NEUTRAL
252,"oil analyst sees papua new guinea as good prospect","good",1,POSITIVE
253,"china to tighten import control cut export cost","",0,NEUTRAL
254,"usair group inc u sets quarterly","",0,NEUTRAL
255,"china must cut demand continue reforms: zhao","",0,NEUTRAL
256,"yugoslavia seeks 600 mln ecu loan from ec","",0,NEUTRAL
257,"mcfarland mcfe to buy petrominerals ptro","",0,NEUTRAL
258,"timminco acquires universal adhesives","",0,NEUTRAL
259,"paloma petroleum ltd year net","",0,NEUTRAL
260,"u.k. money market surplus revised to 250 mln stg","",0,NEUTRAL
261,"technimed corp gets fda approval for drug","approval",1,POSITIVE
262,"american resource corp ltd year net","",0,NEUTRAL
263,"waste management ends tender offer for chemlawn
","waste, tender",0,NEUTRAL
264,"west german jan coffee imports down on year-ago","",0,NEUTRAL
265,"one valley bancorp ovwv raises quarterly","",0,NEUTRAL
266,"national data corp ndta 3rd qtr feb 28 net","",0,NEUTRAL
267,"nvhomes nvh sets two-for-one split","split",-1,NEGATIVE
268,"american resource sets rights offering","",0,NEUTRAL
269,"vanguard technologies international inc vti","",0,NEUTRAL
270,"thomson mckinnon u.s. government fund dividend","",0,NEUTRAL
271,"thomson mckinnon income fund dividend","",0,NEUTRAL
272,"(oakridge holdings inc) 2nd qtr dec 31 net","",0,NEUTRAL
273,"general computer corp gccc 3rd qtr feb 28 net","",0,NEUTRAL
274,"uk equities seen due for downward correction","",0,NEUTRAL
275,"enserch issues 100 mln dlr convertible bond","issues",-1,NEGATIVE
276,"brierley offer for progressive still valid","progressive",1,POSITIVE
277,"avatar holdings inc avtr year net","",0,NEUTRAL
278,"norway offers 11th licence round offshore blocks","",0,NEUTRAL
279,"perception technology pcep to take charge","",0,NEUTRAL
280,"inspectorate issues 200 mln mark equity eurobond","issues",-1,NEGATIVE
281," bundesbank buys dollars for yen - frankfurt dealers
","",0,NEUTRAL
282,"reuters to buy i p sharp of canada","sharp",1,POSITIVE
283,"horizon bank hrzb sets stock split","split",-1,NEGATIVE
284,"waste wmx ends offer for chemlawn chem","waste",-1,NEGATIVE
285,"core-mark international names acting chairman","",0,NEUTRAL
286,"ackerly communications inc year loss","loss",-1,NEGATIVE
287,"united medical um to sell unit","",0,NEUTRAL
288,"rexnord rex to cut staff to 50 from 112","",0,NEUTRAL
289,"ccc accepts bonus bid on cattle for egypt - usda","bonus",1,POSITIVE
290,"intel intc unit sells notes at 8.18 pct","",0,NEUTRAL
291,"spain's socialist trade union pushes for wage hike","",0,NEUTRAL
292,"thatcher defends uk oil policy in saudi interview","",0,NEUTRAL
293,"march prices fell in german state on year-ago","fell",-1,NEGATIVE
294,"bundesbank buys dollars in frankfurt - dealers","",0,NEUTRAL
295,"crossland savings crldacquires western savings","savings, savings",2,POSITIVE
296,"general electric ge sells rights to technique","",0,NEUTRAL
297,"cpc cpc expects european sale to cut debt","debt",-1,NEGATIVE
298,"bank of england drains money market liquidity","drains",-1,NEGATIVE
299,"h.k. official defends non-prosecution of bond","",0,NEUTRAL
300,"vicorp restaurants inc vres 1st qtr feb 15 net","",0,NEUTRAL
301,"commerzbank to acquire and float linotype","",0,NEUTRAL
302,"vicorp vres ends sale/leaseback deal","",0,NEUTRAL
303,"ec export licences for 59000 tonnes white  sugar at rebate 45.678 ecus - french traders
","",0,NEUTRAL
304,"u.k. intervention board details ec sugar sales","",0,NEUTRAL
305,"pioneer-standard electronics inc pios payout","",0,NEUTRAL
306,"amsterdam exchange announces modernisation drive","",0,NEUTRAL
307,"house ways and means cmte finishes work on bill to toughen trade laws
","work",1,POSITIVE
308,"cherokee group chke files to offer shares","",0,NEUTRAL
309,"south africa problems remain despite debt pact","problems, debt",-2,NEGATIVE
310,"fabri-centers fca 4th qtr ends jan 31 net","",0,NEUTRAL
311,"tseng laboratories inc tsng 4th qtr net","",0,NEUTRAL
312,"park electrochemical corp pke sets payout","",0,NEUTRAL
313,"brazil seamen say strike near end","strike",-1,NEGATIVE
314,"key u.s. house panel finishes major trade bill","",0,NEUTRAL
315,"russ togs inc rts 4th qtr jan 31 net","",0,NEUTRAL
316,"johnstown american cos jac 2nd qtr feb 28 net","",0,NEUTRAL
317,"easco offers initial sale of securities","",0,NEUTRAL
318,"keihin electric express issues 150 mln dlr bond","issues",-1,NEGATIVE
319,"bristol and west building society issues cds","issues",-1,NEGATIVE
320,"woolwich building society issuing 50 mln stg bond","",0,NEUTRAL
321,"itt itt  unit files for preferred stock sale","",0,NEUTRAL
322,"cpc expects european sale to cut debt","debt",-1,NEGATIVE
323,"thermo process tpsi acquisition terminated","",0,NEUTRAL
324,"chrysler finance issuing sterling eurobond","",0,NEUTRAL
325,"noranda raises primary aluminum prices","",0,NEUTRAL
326,"soviet paper details georgian flood damage","damage",-1,NEGATIVE
327,"utilicorp ucu sees higher 1987 first quarter","",0,NEUTRAL
328,"xylogics inc initial offering underway","",0,NEUTRAL
329,"tseng tsng sees sales increase first qtr 1987","",0,NEUTRAL
330,"minntech mntx gets more cash for development","",0,NEUTRAL
331,"stockholder systems ssiaa makes acquisition","",0,NEUTRAL
332,"concept inc ccpt 2nd qtr feb 28 net","",0,NEUTRAL
333,"life of indiana corp lifi 4th qtr loss","loss",-1,NEGATIVE
334,"b.f. saul real estate investment bfs payout","",0,NEUTRAL
335,"south africa problems remain despite debt pact","problems, debt",-2,NEGATIVE
336,"maytag myg sees capital spending up in 1987","",0,NEUTRAL
337,"travelers tic unit to buy realty divisions","",0,NEUTRAL
338,"communications and cable inc ccab 1st qtr net","",0,NEUTRAL
339,"ben equity holdings bh suspended on nyse","",0,NEUTRAL
340,"escagen corp esn initial offering starts","",0,NEUTRAL
341,"bristol-myers bmy files aids vaccine with fda","",0,NEUTRAL
342,"dallas investor cuts stake in mcdermott (mdr)","",0,NEUTRAL
343,"fed adopts redeposit service for bounced checks","",0,NEUTRAL
344,"intn'l platinum degussa in joint venture talks","",0,NEUTRAL
345,"westwood one inc wone 1st qwtr feb 28 net","",0,NEUTRAL
346,"reagan opposes new taxes seeks budget","",0,NEUTRAL
347,"iran says has better weapons than silkworm","better",1,POSITIVE
348,"ec commission details sugar tender","tender",1,POSITIVE
349,"inland steel iad preferred offered","",0,NEUTRAL
350,"advanced micro amd preferred offered","advanced",1,POSITIVE
351,"tricentrol to concentrate on proven reserves","proven",1,POSITIVE
352,"rolls-royce signs new engine deal with boeing","",0,NEUTRAL
353,"brooklyn union gas co bu sets payout","",0,NEUTRAL
354,"unisys uis introduces new products","",0,NEUTRAL
355,"argentine port workers take industrial action","",0,NEUTRAL
356,"novamin says it received proposed takeover bid from breakwater
","",0,NEUTRAL
357,"nyfe seat sells for 200 dlrs","",0,NEUTRAL
358,"nec corp has 150 mln dlr euro-cp program","",0,NEUTRAL
359,"france sets four billion franc t-bill tender","tender",1,POSITIVE
360,"fed expected to add reserves in market","",0,NEUTRAL
361,"india reported buying two white sugar cargoes","",0,NEUTRAL
362,"novamin in proposed buyout by breawater bwrlf","",0,NEUTRAL
363,"lilly industrial coatings inc licia 1st qtr","",0,NEUTRAL
364,"commonwealty realty crtyz bay bay end talks","",0,NEUTRAL
365,"met-pro corp mpr 4th qtr ends jan 31 net","",0,NEUTRAL
366,"edo edo to buy back additional 500000 shares","",0,NEUTRAL
367,"vista visa forms office of the president","",0,NEUTRAL
368,"central maine power co ctp sets quarterly","",0,NEUTRAL
369,"some firms curb commodities business with drexel","",0,NEUTRAL
370,"pep boys pby sets split raises quarterly","pep, split",0,NEUTRAL
371,"pep boys - manny moe and jack inc pby 4th qtr","pep",1,POSITIVE
372,"hovnanian enterprises hov earnings to rise","",0,NEUTRAL
373,"ny traders say turkey made large sugar purchase","",0,NEUTRAL
374,"norfolk nsc unit sells equipment certificates","",0,NEUTRAL
375,"anheuser-busch bud officer resigns","",0,NEUTRAL
376,"johnson says fed's actions yesterday meant to stabilize dollar at current levels
","stabilize",1,POSITIVE
377,"sunstar foods inc sunf 2nd qtr feb 28 net","",0,NEUTRAL
378,"phoenix re pxre initial offering under way","",0,NEUTRAL
379,"nippon signal to issue 50 mln swiss franc notes","issue",-1,NEGATIVE
380,"hadson hads to acquire 85 pct of seaxe seax","",0,NEUTRAL
381,"reuters to buy i p sharp of canada","sharp",1,POSITIVE
382,"tcby enterprises tcby splits stock","",0,NEUTRAL
383,"first interstate i sells capital notes","",0,NEUTRAL
384,"raytheon co rtn sets quarterly","",0,NEUTRAL
385,"fiat may issue bond for libyan stake paper says","issue",-1,NEGATIVE
386,"italy's stet forms telecommunications firm","",0,NEUTRAL
387,"p.h. glatfelter co glp increases dividend","",0,NEUTRAL
388,"life of indiana corp lifi 4th qtr loss","loss",-1,NEGATIVE
389,"(corrected) - tseng tsng sees sales increase","",0,NEUTRAL
390,"brazilian bank strike spreads union says","strike",-1,NEGATIVE
391,"consolidated norex to acquire triweb resources","",0,NEUTRAL
392,"thai sugar production continues high in feb","",0,NEUTRAL
393,"swedish export credit issues new zealand dlr bond","issues",-1,NEGATIVE
394,"apollo computer apci in joint marketing pact","",0,NEUTRAL
395,"accugraph in asia marketing pact with trio-tech","",0,NEUTRAL
396,"reichhold chemicals inc exploring possible sale of european subsidiary
","",0,NEUTRAL
397,"ny traders expect china to step up sugar buying","",0,NEUTRAL
398,"ross stores inc rost 4th qtr jan 31 loss","loss",-1,NEGATIVE
399,"italian treasury bill offer has mixed response","",0,NEUTRAL
400,"afg afg expands into auto glass replacement","",0,NEUTRAL
401,"greenwood resources says banks could foreclose","",0,NEUTRAL
402,"navistar nav still expects higher 1987 net","",0,NEUTRAL
403,"hees international sets 100 mln dlr share issue","issue",-1,NEGATIVE
404,"corrected-lilly industrial coatings inc licia","",0,NEUTRAL
405,"u.s. senate panel approves trade mission bill","",0,NEUTRAL
406,"caterpillar cat workers told to end sit-in","",0,NEUTRAL
407,"bat shares undervalued say stock market analysts","",0,NEUTRAL
408,"baldrige says u.s. will not let japan dominate world electronics market
","dominate",1,POSITIVE
409,"reichhold rci exploring sale of european unit","",0,NEUTRAL
410,"americus trust for merck mrk now effective","trust, effective",2,POSITIVE
411,"ual said donald trump was interested in ual stock "as investment"
","trump",1,POSITIVE
412,"int'l broadcasting ibca sets reverse split","split",-1,NEGATIVE
413,"bi inc biac sets reverse split","split",-1,NEGATIVE
414,"baldrige says japan must open its markets","",0,NEUTRAL
415,"k mart km unit buys texas land","",0,NEUTRAL
416,"basf corp year net","",0,NEUTRAL
417,"toronto dominion buying montreal exchange seat","",0,NEUTRAL
418,"lear siegler deposits 79.4 mln dlrs to secure notes effects reorganization
","secure",1,POSITIVE
419,"j.a.m. jamy wins 1.5 mln dlr contract","wins",1,POSITIVE
420,"unisys uis new mainframe introduction not set","",0,NEUTRAL
421,"montana power co mtp votes quarterly dividend","",0,NEUTRAL
422,"ual ual said trump talked with ual chairman","trump",1,POSITIVE
423,"grolier glr debt upgraded by moody's","debt, upgraded",0,NEUTRAL
424,"team inc tmi 3rd qtr feb 28 net","",0,NEUTRAL
425,"todd shipyards corp omits qtly common div sets preferred payout
","",0,NEUTRAL
426,"rsi corp rsic 2nd qtr feb 28 net","",0,NEUTRAL
427,"rcm technologies inc rcmt 1st qtr jan 31 loss","loss",-1,NEGATIVE
428,"mcclain industries inc mccl 1st qtr dec 31 net","",0,NEUTRAL
429,"fed offers to buy one billion dlrs of bills for customer after note auction
","",0,NEUTRAL
430,"synalloy syo ends plans to sell unit","",0,NEUTRAL
431,"c-i-l acquiring trimac's stake in tricil","",0,NEUTRAL
